,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,The Thrill Is Gone,Anthology,B.B. King,2014-12-08,324266,0,0.554,0.224,0.554,0.516,0.286,0.0548,-6.819,0.0255,90.309,4
38,Scratch My Back,The Fabulous Thunderbirds,The Fabulous Thunderbirds,1979,232706,54,0.775,0.496,0.775,0.499,0.0219,0.114,-7.181,0.0415,121.056,4
39,Black Magic Woman - 2018 Remaster,The Pious Bird of Good Omen,Fleetwood Mac,1969-08-15,172693,0,0.457,0.0516,0.457,0.412,4.35e-05,0.275,-11.138,0.0369,129.423,4
40,Juke,The Essential Little Walter,Little Walter,1993-06-08,164893,52,0.566,0.751,0.566,0.657,0.896,0.156,-10.33,0.0693,145.359,4
41,Mean Old World,T-Bone Blues,T-Bone Walker,2005-03-29,247373,52,0.73,0.527,0.73,0.235,0.0112,0.0663,-15.276,0.0355,87.226,4
42,Texas Flood,The Best Of Duke-Peacock Blues,Various Artists,1992-02-16,163373,51,0.467,0.89,0.467,0.277,7.66e-05,0.2,-12.101,0.0283,99.83,3
43,"Damn Right, I've Got the Blues","Damn Right, I've Got The Blues",Buddy Guy,1991,271653,57,0.353,0.0488,0.353,0.921,0.065,0.314,-5.64,0.0758,145.589,3
44,Mean Mistreater,Johnny Winter,Johnny Winter,1969,232453,51,0.554,0.736,0.554,0.49,0.00728,0.327,-8.725,0.0267,67.591,4
45,Somebody Loan Me A Dime,Somebody Loan Me A Dime,Fenton Robinson,1974,179693,0,0.668,0.468,0.668,0.583,3.62e-05,0.337,-8.889,0.0768,118.655,3
46,Walking By Myself,Chicago Bound,Jimmy Rogers,1976-02-03,167266,49,0.621,0.837,0.621,0.519,0.00246,0.162,-13.328,0.102,117.005,4
47,Stumble,My Feeling For the Blues,Freddie King,1969,216626,53,0.678,0.101,0.678,0.612,0.318,0.164,-9.764,0.0339,118.381,4
48,Little Angel Child,Fast Fingers,Jimmy Dawkins,1998-01-01,239266,52,0.5,0.125,0.5,0.638,0.0285,0.199,-7.262,0.0461,122.621,4
49,My Babe,The Essential Little Walter,Little Walter,1993-06-08,162040,58,0.676,0.862,0.676,0.334,0.0,0.32,-10.572,0.0508,158.0,4
50,Call It Stormy Monday,T-Bone Blues,T-Bone Walker,2005-03-29,183026,52,0.606,0.545,0.606,0.301,0.00194,0.0419,-11.402,0.0423,100.979,4
51,Help Me,The Essential Sonny Boy Williamson,Sonny Boy Williamson II,1993-01-01,188240,41,0.723,0.68,0.723,0.357,0.24,0.606,-12.587,0.0616,114.078,4
52,T-Bone Shuffle,Deluxe Edition,Albert Collins,1997-09-09,295693,51,0.537,0.00393,0.537,0.695,0.188,0.084,-9.88,0.0377,131.307,4
53,Be Careful With a Fool,Johnny Winter,Johnny Winter,1969,314880,55,0.294,0.282,0.294,0.736,0.0418,0.102,-7.961,0.151,208.576,3
54,Short Dressed Woman,"Easy Blues (France, 1978) [Blues Reference]",Lafayette Leake,1978,252133,52,0.767,0.237,0.767,0.496,0.0723,0.0853,-11.399,0.0307,110.932,4
55,Love Struck Baby,Texas Flood (Legacy Edition),Stevie Ray Vaughan,1983,141933,54,0.548,0.279,0.548,0.874,0.0463,0.173,-10.147,0.0463,172.129,4
56,Have You Ever Loved A Woman?,Layla And Other Assorted Love Songs (Remastered 2010),Derek & The Dominos,1970-11-01,412960,56,0.303,0.642,0.303,0.648,0.053,0.407,-6.795,0.0512,170.379,3
57,Let The Good Times Roll,The Best Of Louis Jordan,Louis Jordan,1975-01-01,167226,49,0.705,0.812,0.705,0.401,0.0,0.319,-9.506,0.0475,104.956,4
58,She's A Sweet One,"Calling All Blues - The Chief, Profile & USA Recordings 1957-1963",Junior Wells,1957,181786,53,0.705,0.15,0.705,0.483,0.0265,0.202,-12.209,0.0542,122.863,4
